UrunKodu;Kategori;UrunAciklamasi;UrunAciklamasiEn;BirimFiyat;MaliyetFiyati;EklenmeTarihi;FiyatTL;FiyatUSD;FiyatEUR
LT-G0280;Belli Değil;"Kül Fırını;
Kullanılır hacim: 7 litre
Sıcaklık Çalısma Aralığı : 1200 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
220 V, 50-60 Hz, 1 ph";"Muffle furnace, 
Capacity: 7 L,
Max. Temperature: 1200°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
220 V, 50-60 Hz, 1 ph";0,00;66000,00;2025-09-04 15:23:18.040;0,00;2730,00;0,00
LT-G0281;Belli Değil;"Kül Fırını;
Kullanılır hacim: 10 litre
Sıcaklık Çalısma Aralığı : 1200 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
220 V, 50-60 Hz, 1 ph";"Muffle furnace, 
Capacity: 10 L,
Max. Temperature: 1200°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
220 V, 50-60 Hz, 1 ph";0,00;80000,00;2025-09-04 15:23:18.041;0,00;2730,00;0,00
LT-G0282;Belli Değil;"Kül Fırını;
Kullanılır hacim: 20 litre
Sıcaklık Çalısma Aralığı : 1200 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
220 V, 50-60 Hz, 1 ph";"Muffle furnace, 
Capacity: 20 L,
Max. Temperature: 1200°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
220 V, 50-60 Hz, 1 ph";0,00;96600,00;2025-09-04 15:23:18.042;0,00;2730,00;0,00
LT-G0284;Belli Değil;"Kül Fırını;
Kullanılır hacim: 45 litre
Sıcaklık Çalısma Aralığı : 1200 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
380 V, 50-60 Hz, 3 ph";"Muffle furnace, 
Capacity: 45 L,
Max. Temperature: 1200°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
380 V, 50-60 Hz, 3 ph
";0,00;140000,00;2025-09-04 15:23:18.043;0,00;0,00;0,00
LT-G0241;Belli Değil;"Dijital Elektrikli Ocak– Hot Plate
Dış Yüzey Ölçüleri : 30x30
Sıcaklık Çalışma Aralığı : Ortam sıcaklıgı ile 350°C
Kontrol Sistemi : PID Dijital Termostat
Sıcaklık Hassasiyeti : ± 2 ºC
Isıtma Tablası : Döküm / Kumlama Sac
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
Güç Değerleri : 220 V, 50 Hz, 1 ph";"Digital Electrical Hot Plate
Dimensions : 30x30
Temperature Range is ambient to 350°C.
Controller System : PID Digital Thermostat
Heater Table made from Cast / Sand Blasting Sheet Iron.
Power Supply : 220 V, 50 Hz, 1 ph";0,00;9500,00;2025-09-04 15:23:18.044;0,00;591,00;550,00
LT-G0242;Belli Değil;"Dijital Elektrikli Ocak– Hot Plate
Dış Yüzey Ölçüleri : 30x60
Sıcaklık Çalışma Aralığı : Ortam sıcaklıgı ile 350°C
Kontrol Sistemi : PID Dijital Termostat
Sıcaklık Hassasiyeti : ± 2 ºC
Isıtma Tablası : Döküm / Kumlama Sac
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
Güç Değerleri : 220 V, 50 Hz, 1 ph";"Digital Electrical Hot Plate
Dimensions : 30x60
Temperature Range is ambient to 350°C.
Controller System : PID Digital Thermostat
Heater Table made from Cast / Sand Blasting Sheet Iron.
Power Supply : 220 V, 50 Hz, 1 ph";0,00;0,00;2025-09-04 15:23:18.045;0,00;591,00;550,00
LT-G0243;Belli Değil;"Dijital Elektrikli Ocak– Hot Plate
Dış Yüzey Ölçüleri : 40x40
Sıcaklık Çalışma Aralığı : Ortam sıcaklıgı ile 350°C
Kontrol Sistemi : PID Dijital Termostat
Sıcaklık Hassasiyeti : ± 2 ºC
Isıtma Tablası : Döküm / Kumlama Sac
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
Güç Değerleri : 220 V, 50 Hz, 1 ph";"Digital Electrical Hot Plate
Dimensions : 40x40
Temperature Range is ambient to 350°C.
Controller System : PID Digital Thermostat
Heater Table made from Cast / Sand Blasting Sheet Iron.
Power Supply : 220 V, 50 Hz, 1 ph";0,00;10000,00;2025-09-04 15:23:18.046;0,00;711,00;740,00
LT-G0244;Belli Değil;Tekli Elektrikli Ocak, 1500 Watt, Analog Termostatlı;Single Hot Plate. 1500 Watt. Analog Thermostat.;0,00;800,00;2025-09-04 15:23:18.047;0,00;72,00;0,00
LT-G0245;Belli Değil;Çift Gözlü Elektrikli Ocak, 1000+1500 Watt, Analog Termostatlı;Double Hot Plate. 1000+1500 Watt. Analog Thermostat.;0,00;1800,00;2025-09-04 15:23:18.048;0,00;84,00;0,00
LT-G0246;Belli Değil;"Analog Isıtıcılı Manyetik Karıştırıcı. 
380°C'ye kadar ısıtma özelliği, 80-1500 devir/dakika hız. 20 litre karıştırma kapasiteli, Hız ve Sıcaklık Ayarı Analog. Seramik kaplı tabla, 190 x 190 mm tabla boyutu, , 600 W, 2 adet manyetik balık ile birlikte.";Analog Hot plate with magnetic stirrer, ambient to 380 °C temperature range, 80-1500 rpm stirring speed, 20 lt stirring capacity, Ceramic table, 180x180 mm hot plate. 220-240V, 50-60Hz, 1ph;0,00;12000,00;2025-09-04 15:23:18.049;0,00;720,00;0,00
LT-G0247;Belli Değil;"Dijital Isıtıcılı Manyetik Karıştırıcı. 
380°C'ye kadar ısıtma özelliği, 80-1500 devir/dakika hız. 20 litre karıştırma kapasiteli, Hız ve Sıcaklık Ayarı Analog. Seramik kaplı tabla, 190 x 190 mm tabla boyutu, , 600 W, 2 adet manyetik balık ile birlikte.";Digital Hot plate with magnetic stirrer, ambient to 380 °C temperature range, 80-1500 rpm stirring speed, 20 lt stirring capacity, Ceramic table, 180x180 mm hot plate. 220-240V, 50-60Hz, 1ph;0,00;16000,00;2025-09-04 15:23:18.050;0,00;900,00;0,00
LT-G0248;Belli Değil;ÇEKER OCAK ;Fume Hood;0,00;80000,00;2025-09-04 15:23:18.051;0,00;7500,00;
LT-G0250;Belli Değil;Kurutma Makinası, 220 V, 50-60 Hz, 1 ph;Warm-Air Drier, 220 V, 50-60 Hz, 1 ph;0,00;600,00;2025-09-04 15:23:18.052;0,00;78,00;0,00
LT-G0255;Belli Değil;"Sıcak Hava Tabancası, 250/500 lt/dak - 350/550°C 
230 V, 50-60 Hz, 1 ph";"Hot Air Gun, 250/500 L/min - 350/550°C .
220 V, 50-60 Hz, 1 ph";0,00;2000,00;2025-09-04 15:23:18.053;0,00;111,00;0,00
LT-G0260;Belli Değil;Mikrodalga Fırın, 17 L kapasiteli, max 250 °C, 100 dakikaya ayarlanabilir mekanik program saati, döner cam tepsi ve döner destek aparatı. 220 V, 50-60 Hz, 1 ph;Microwave Oven, 17 L capacity, max 250 °C,  100 min program timer, turntable system, 220 V, 50-60 Hz, 1 ph;0,00;2700,00;2025-09-04 15:23:18.054;0,00;192,00;0,00
LT-A0072;Belli Değil;Hızlı Nem Tayin Cihazı(Speedy Moisture Test), Arazi koşullarında toz, karışım ve hamur haldeki toprak, kum, kil, agrega ve diğer granüler malzemelerin nem içeriklerini hızlı ve doğru tespit eder. Kapasite: 20 gr. Hassas Terazisi, ölçüm kaşığı ve kabı, 1 kutu kalsiyum karpit tepkileyici, temizleme fırçası, ahşap muhafazası ile birlikte set olarak verilmektedir.;Speedy Moisture Test, used to determine moisture content in soils, sand and fine aggregates. 20 gr sample can be used. Precision Scale, measuring spoons and cups, 1 box of calcium carbide reagent, cleaning brush, wooden enclosure wit a complete set as.;0,00;1200,00;2025-09-04 15:23:18.055;0,00;1250,00;0,00
LT-G0097;Belli Değil;"Desikatör; 210 mm çapında";Non-Vacuum Dessicator Ø 210 mm;0,00;1956,80;2025-09-04 15:23:18.056;0,00;90,00;0,00
LT-G0098;Belli Değil;"Desikatör; 240 mm çapında";Non-Vacuum Dessicator Ø 240 mm;0,00;2480,90;2025-09-04 15:23:18.057;0,00;132,00;0,00
LT-G0099;Belli Değil;"Desikatör; 300 mm çapında";Non-Vacuum Dessicator Ø 300 mm;0,00;4197,85;2025-09-04 15:23:18.058;0,00;180,00;0,00
LT-G0100;Belli Değil;"Desikatör; 210 mm çapında, vakum tip";Vacuum Dessicator Ø 210 mm;0,00;2672,94;2025-09-04 15:23:18.059;0,00;114,00;0,00
LT-G0101;Belli Değil;"Desikatör; 240 mm çapında, vakum tip";Vacuum Dessicator Ø 240 mm;0,00;3960,13;2025-09-04 15:23:18.060;0,00;168,00;0,00
LT-G0102;Belli Değil;"Desikatör; 300 mm çapında, vakum tip";Vacuum Dessicator Ø 300 mm;0,00;5295,54;2025-09-04 15:23:18.061;0,00;225,00;0,00
LT-G0355;Belli Değil;Dijital Agrega Rutubet Ölçer. 1 m ölçüm probu. Ölçüm Süresi: 2 saniye, Sıcaklık Aralığı: -20 to 60 C. Sıcaklık Kararlılığı: 0.1°C, Sıcaklık Hassasiyeti: <0.5°C, Nem Aralığı:  0-25%, Nem Kararlılığı: ±0.1%, Nem Hassasiyeti:  Okumanın ±0.5%,'i. Batarya: 4x1.5V AA alkali pil. Ağırlık: 1500 g;"Digital Aggregate Moisture Tester. 1 m measuring probe. Temperature range: -20 to 60 C. Moisture Range:  0-25%, 
Battery: 4 x 1.5 V AA alkaline cells (or equivalent). Weight: 1500 gr";0,00;7420,00;2025-09-04 15:23:18.062;0,00;4200,00;0,00
LT-A0012/S;Belli Değil;Tel Çubuklu Yassılık Elek Seti,  EN 933-3 standardında, sac çerçeve, paslanmaz çelik çubuklu, çubuklar arası 2,50, 3,15, 4,00, 5,00, 6,30, 8,00, 10,00, 12,50, 16,00, 20,00, 25,00, 31,50, 40,00 mm açıklık;Grid Sieve Set, conforming EN 933-3 standard, sheet metal frame, stainless steel bars, 13 units of sieves with 2.50, 3.15, 4.00, 5.00, 6.30, 8.00, 10.00, 12.50, 16.00, 20.00, 25.00, 31.50, 40.00 mm apertures;0,00;17500,00;2025-09-04 15:23:18.063;0,00;936,00;0,00
LT-A0012;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 2,5 mm açıklığında;Grid Sieve  , 2,5 mm ;0,00;1440,50;2025-09-04 15:23:18.064;0,00;72,00;0,00
LT-A0013;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 3,15 mm açıklığında;Grid Sieve  , 3,15 mm ;0,00;1440,50;2025-09-04 15:23:18.065;0,00;72,00;0,00
LT-A0014;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 4 mm açıklığında;Grid Sieve  , 4 mm ;0,00;1427,00;2025-09-04 15:23:18.066;0,00;72,00;0,00
LT-A0015;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 5 mm açıklığında;Grid Sieve  , 5 mm ;0,00;1413,50;2025-09-04 15:23:18.067;0,00;72,00;0,00
LT-A0016;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 6,3 mm açıklığında;Grid Sieve  , 6,3 mm ;0,00;1400,00;2025-09-04 15:23:18.068;0,00;72,00;0,00
LT-A0017;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 8 mm açıklığında;Grid Sieve  , 8 mm ;0,00;1359,50;2025-09-04 15:23:18.069;0,00;72,00;0,00
LT-A0018;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 10 mm açıklığında;Grid Sieve  , 10 mm ;0,00;1336,55;2025-09-04 15:23:18.070;0,00;72,00;0,00
LT-A0019;Belli Değil;Tel Çubuklu Yassılık Eleği , metal çerçeve, çelik çubuklu 12,5 mm açıklığında;Grid Sieve  , 12,5 mm ;0,00;1325,75;2025-09-04 15:23:18.071;0,00;72,00;0,00
